,Address,Balance Mainnet,Balance Fork,Difference
0,0x85df0debb5758a2f282a1aace604ea0cd6337665,1.2030462283030615e+18,1170580578527324521,32465649775736960
1,0x08359e9691bb743239713213fe4576c2ff7aefc0,3.221906412355188e+16,33951359123551878,1732295000000000
2,0xdb28719f7f938507dbfe4f0eae55668903d34a15,0.0,0,0
3,0xa0cc856ff5621ca9ba3a22b0c21f9de15f42cd87,0.0,0,0
4,0x41de296570eacbbeffebb27d14530ed7f2bc9b23,8.8728581210815e+16,88561115974177000,167465236638000
5,0x2ad76512ee8f74f419329213b06440544451db78,0.0,0,0
6,0x2dbd1b3535c787ab2f8e00a5adeceb10f219575a,0.0,0,0
7,0x052311d4a56d75d211d85fba9d95d1bbb412488a,7.9811e+16,19411727669324818837,19331916669324818837
8,0x9dfad1b7102d46b1b197b90095b5c4e9f5845bba,0.0,0,0
9,0x738aaed7c783ac2de6f9804496d1ace497ab0a2b,6.63200794285151e+17,662009621520971005,1191172764180000
10,0x7564c82b7c65b3034fb567de50184d75c3989d80,0.0,8998999990000000000,8998999990000000000
11,0xfa6ae0942177e41a40f8f01eed98d1200b66544d,0.0,0,0
12,0x5483b932e3d83b5eb6c46bda5fb0a4d9f4079f96,1.2518274883845792e+19,12518456735436383826,181851590592000
13,0x1e0447b19bb6ecfdae1e4ae1694b0c3659614e4e,0.0,0,0
14,0x2a1530c4c41db0b0b2bb646cb5eb1a67b7158667,130093806896566179374,129137665861926845844,956141034639333530
15,0x3058ef90929cb8180174d74c507176cca6835d73,0,0,0
16,0x3cb84de78b8fb05aa0d64393bfc332e37af342d5,47219464501375140,53487864501375140,6268400000000000
17,0xbe5dab4a2e9cd0f27300db4ab94bee3a233aeb19,0,0,0
18,0x130aea9ddc0d03a5f4c9dd9ad0972517f20f94d6,485826944812601000,497653184812601000,11826240000000000
19,0xb0bd53e103dbd9efba9e4c07ff5b3883a666b78a,130547466209146743,123550922869284756,6996543339861987
20,0x9d3a921113efdea8755b4238a9fdebe34f262002,0,4930570000000000,4930570000000000
21,0x4c08a72a847e5e11ffa6c65cc6932c1cd01b1ab4,272603338109373201,264911383784741353,7691954324631848
22,0x1884e47c3b735a9c8ec44325dc15b5c299d03613,541793681067539842,541793681067539842,0
23,0xfef7d292db934e06c2f0243541cd936cc824be20,27541895563369000,54040935563369000,26499040000000000
24,0x330f620168e2f3c2bdba60b68574b74358611688,86061846810519390250,86047866569187623939,13980241331766311
25,0xc90cea2684dc50c29b0efe6bcb7e4f5bf58c43dd,1823436864932639,13198976864932639,11375540000000000
26,0xa72b7112d083e6492d4cca2e09df562d952297c4,0,0,0
27,0xf9adb4852142fa22d8de96c7cfceee500803f1f1,10651121385412426,10651121385412426,0
28,0x24c8cfb8dddefea8987783f2f828d2602090dce7,367836831894000,120367836831894000,120000000000000000
29,0x736e0f8313373d101511eaa2ce843aa74f35344e,86882298844524024519,86882298844524024519,0
30,0xfc70bf66024292a1753860f39c5cc39bd3d28673,624538019658303,6624538019658303,6000000000000000
31,0xe328361fa5bd042c27bf119519cdb7e70400f5ed,1275455680193668297,1328776126165015406,53320445971347109
32,0x3d8a3a7e307dec6891e4235eebe93befe3a1e043,0,0,0
33,0x1a0b15f07911d65cea75aa30bd79d4cd16837b59,356316561326786419,2609384323104415579,2253067761777629160
34,0x8cdc0a9815e7c4623762dd91d30eac25b58c4a88,0,106715848206156292,106715848206156292
35,0x5e3fdb22ac6d60a9fd86027e49f841e5f7bc3f56,0,219105100000000000,219105100000000000
36,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,0,0,0
37,0x39c4a92dc506300c3ea4c67ca4ca611102ee6f2a,0,0,0
38,0xa788c832c349d7833166a3eaaaa95761f6eb1074,18773632868748094,837773632868748094,819000000000000000
39,0xd85d113ba2069a84feb6e1527205dce28760aadc,0,12375000000000000,12375000000000000
40,0x24179cd81c9e782a4096035f7ec97fb8b783e007,0,0,0
41,0x104fc8d05dbc88b251bc3c94e21d33dc2c7c0f15,56468323244949634,31377306333665724,25091016911283910
42,0xfa5c080ee1eed4d373b02496fd6b34e107f11e39,0,2500000000000000,2500000000000000
43,0xc182bd3c0a96b8765358a54d77d56c2cb1af8aac,2552752532959547918,2324407004504728844,228345528454819074
44,0x66d55c2b52e8f371a9439dbafe73436f7972a98f,11000000000000000,11000000000000000,0
45,0xa289364347bfc1912ab672425abe593ec01ca56e,1751897313671099154,1751994518938328154,97205267229000
46,0x6c1f2f625d77fc555f6ddb07e527e0466e6787fc,28052618700674630,26940583393358798,1112035307315832
47,0xaac957a8264124d93d42ede793356e49d0ef5c88,449625306290311645,449462906866222645,162399424089000
48,0xa08aba528da538cd3547a73c93d51b90201294b6,1286987814681170385,1286987814681170385,0
49,0xc9c32cd16bf7efb85ff14e0c8603cc90f6f2ee49,0,0,0
50,0xd8a313cfa9ddb3a74ef859ddc1610d5103b7f7b5,69573831859303593,69735441125632593,161609266329000
51,0x68526a4295236d2f18ceda8a200cddd5aab9e2cc,2831695036929410416,94831850036929410416,92000155000000000000
52,0x1e4ede388cbc9f4b5c79681b7f94d36a11abebc9,0,0,0
53,0xb97167440c95fd6df9053b813855d5bdca557409,242597316167292293,238432610707905653,4164705459386640
54,0x86f95f0a25e023346f4ac32b25ebcfa593120d45,0,0,0
