Address,Amount,Label
0x57C1e0C2ADf6EECDb135BcF9ec5F23b319be2c94,121,MEV
0x7Bc25283a29A3888CAb4555Ea86fF1a8C18Cc90a,44,Unknown1 (SetInMergeERC721 Contract)
0x881D40237659C251811CEC9c364ef91dC08D300C,20,MetaMask
0xbaDc0dEfAfCF6d4239BDF0b66da4D7Bd36fCF05A,19,MEV
0xBEEFBaBEeA323F07c59926295205d3b7a17E8638,13,MEV
0x00000000AE347930bD1E7B0F35588b92280f9e75,12,Unknown6
0xA69babEF1cA67A37Ffaf7a485DfFF3382056e78C,11,MEV
0xa57Bd00134B2850B2a1c55860c9e9ea100fDd6CF,11,MEV
0x000000000dFDe7deaF24138722987c9a6991e2D4,10,MEV
0xD51a44d3FaE010294C616388b506AcdA1bfAAE46,9,Curve.fi
0x98C3d3183C4b8A650614ad179A1a98be0a8d6B8E,9,MEV
0x2A8bF7cb9b8970DDaE479A2d3C66459145c38D3c,8,Unknown (Contract Name i) - NFT
0x0000000000007F150Bd6f54c40A34d7C3d5e9f56,7,MEV
0xcE0f25934dEAaddd174427F1978bCd487a85E9fA,6,Unknown5 (Truplay Contract)
0x114702cD1fD3940F0f74D7Ce12e7FB0865B3cDE4,5,Unknown
0xF71530c1f043703085B42608ff9DCcCc43210a8E,5,MEV
0x91aaE0aAfd9D2d730111b395c6871f248d7Bd728,4,Unknown
0x934383B37De628425E8461Ead970628d405D9B73,4,Unknown
0x6260ac05c843498fb0627FA4020e26999D3483e5,4,Unknown
0x09e0781A47e9FD2b6258Be09bd074f42022b9760,4,Unknown
