Address,Amount,Label
0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,780,FTX
0xC098B2a3Aa256D2140208C3de6543aAEf5cd3A94,673,FTX
0xBB50cE87be3443Ed137df1dfdbF2FB0ca8C0a9e0,320,Unknown1
0x7abE0cE388281d2aCF297Cb089caef3819b13448,84,FTX
0x25eAff5B179f209Cf186B1cdCbFa463A69Df4C45,57,FTX
0x19f494583c7C933be7B0eE58104DDaFac1E8aDfA,44,Unknown2
0xfaC3f677aaf29FB5c702bC51F6C28cBc48816B60,38,Unknown3
0x8EB8a3b98659Cce290402893d0123abb75E3ab28,35,Avalanche Bridge
0xe1e1AA9C7e93Bc0FB6259eb509be062dcEc96d43,23,Unknown4
0x6a09008c0041dBd389F64324b093c3936a4921fc,18,Unknown5
0xE8527f01BdF894AaAB08eE10D813e009a85eDFaB,18,Unknown6
0xec00eb6C067A004b277B8B336a560a90c97f6697,17,Unknown7
0x6ef49a9d00f024D73CD100dFab16047D2361429c,17,Unknown8
0x5f2Cc40000dFA88f9D34466a06e237A9492dBbB9,16,Unknown9
0xF33835D85c8ce17f41abE1f510fACB044806751a,16,Unknown10
0x87cbc48075d7aa1760Ac71C41e8Bc289b6A31F56,16,Unknown Exchange
0xeac2eBc38A14De6A78925c33c2739846A02c40f0,16,Unknown11
0x1aD42FB475192C8C0a2Fc7D0DF6faC4F71142c58,16,Unknown12
0x0EBd59317D3c6FF58104B5bEBf2F9D2F732b2694,16,Unknown13
0x3C2532CFba0310d5Bd0d0745F90000c3E48C2c27,16,Unknown14
